date_start,date_end,type_chs,location,region,season_type,damage_rub,year,month
2008-05-24,2008-05-25,Половодье,(р. Лена),Республика Саха (Якутия),весенний,,2008,5
2010-05-20,2010-05-22,Затор,(р. Лена),Республика Саха (Якутия),весенний,,2010,5
2011-05-16,2011-05-17,Затор,(р. Лена),Республика Саха (Якутия),весенний,,2011,5
2012-05-14,2012-05-16,Половодье,(Олекминский район),Республика Саха (Якутия),весенний,,2012,5
2013-05-10,2013-05-19,Затор,"(реки Лена, Колыма, Амга)",Республика Саха (Якутия),весенний,,2013,5
2013-05-10,2013-05-19,Половодье,"(реки Лена, Колыма, Амга)",Республика Саха (Якутия),весенний,,2013,5
2015-05-13,2015-05-13,Затор,(р. Лена п. Табага),Республика Саха (Якутия),весенний,,2015,5
2018-05-07,2018-07-01,Половодье,,Республика Саха (Якутия),весенний,,2018,5
2018-05-07,2018-05-07,Затор,,Республика Саха (Якутия),весенний,,2018,5
2018-05-14,2018-05-18,Затор,(сТабага - р.Лена),Республика Саха (Якутия),весенний,,2018,5
2018-05-19,2018-05-22,Затор,п.Сангар - р.Лена),Республика Саха (Якутия),весенний,,2018,5
2018-05-24,2018-05-24,Затор,,Республика Саха (Якутия),весенний,,2018,5
2018-05-25,2018-06-06,Половодье,,Республика Саха (Якутия),весенний,,2018,5
2018-05-27,2018-05-27,Затор,(п.Жиганск - р.Лена),Республика Саха (Якутия),весенний,,2018,5
2020-05-13,2020-05-14,Паводок, (р. Лена),Республика Саха (Якутия),весенний,,2020,5
2022-05-23,2022-05-24,Половодье,"(р. Лена, г.п. Графский берег",Республика Саха (Якутия),весенний,,2022,5
2023-05-21,2023-05-23,Половодье,"(р. Лена,  ГП Сангар).",Республика Саха (Якутия),весенний,,2023,5
