year,"лаг пика Витим→Якутск, дней","лаг пика Жиганск→Якутск, дней","лаг пика Киренск→Якутск, дней","лаг пика Ленск→Якутск, дней","лаг пика Олёкминск→Якутск, дней","лаг пика Покровск→Якутск, дней","лаг пика Сангар→Якутск, дней","лаг пика Табага→Якутск, дней"
2008,-21,-9,-26,-22,-22,1,-5,0
2009,5,17,6,40,3,30,26,30
2010,2,-8,4,6,3,1,-1,1
2011,16,-7,20,13,7,3,-1,0
2012,-19,-4,9,8,-22,1,4,0
2013,10,-6,9,8,7,2,1,0
2014,-33,-8,-34,15,11,6,-3,0
2015,-29,-11,-13,8,6,2,-4,1
2016,7,21,18,31,4,1,27,0
2017,-9,-11,-9,4,-12,1,-3,0
2018,-18,-11,-18,8,-20,-1,-4,-2
2019,-25,-7,-26,6,-27,1,0,1
2020,-15,-9,11,9,-17,1,-3,0
2021,-20,-6,-20,-21,9,1,-3,0
2022,-5,-6,-13,11,3,0,-3,0
2023,-25,-11,6,5,6,1,-2,0
