year,lag_30230_to_24959_days,lag_24944_to_24959_days,lag_24343_to_24959_days,thaw_upstream_date,thaw_yakutsk_date,lag_upstream_to_yakutsk_days
2008,6,3,-7.0,2008-04-30,2008-05-03,3
2009,18,1,0.0,2009-04-22,2009-04-23,1
2010,0,0,-16.0,2010-04-22,2010-04-22,0
2011,10,1,-1.0,2011-04-21,2011-04-22,1
2012,0,-13,-17.0,2012-05-04,2012-04-21,-13
2013,-3,-3,-11.0,2013-04-24,2013-04-21,-3
2014,22,2,,2014-04-11,2014-04-13,2
2015,9,3,-12.0,2015-04-23,2015-04-26,3
2016,2,1,-21.0,2016-04-18,2016-04-19,1
2017,21,0,-3.0,2017-04-22,2017-04-22,0
2018,2,0,-33.0,2018-04-18,2018-04-18,0
2019,0,0,-15.0,2019-04-25,2019-04-25,0
2020,9,2,-33.0,2020-04-10,2020-04-12,2
2021,1,3,-4.0,2021-04-27,2021-04-30,3
2022,18,2,-15.0,2022-04-29,2022-05-01,2
2023,-1,-3,-4.0,2023-04-29,2023-04-26,-3
